контракт;ресурс;сумма;услуга;группа услуг;тариф;норматив;№ прич. Перерасчета
50129529176;;-718,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129528177;;-602,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129555178;;-864,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550179;;-690,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550180;;-1322,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129553181;;-760,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129560182;;-650;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129559183;;-1005,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546184;;-931,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129541185;;-1326;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129532186;;-760,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129539187;;-648,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510188;;-1002,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513189;;-931,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129539190;;-1316,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129532191;;-762,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129541192;;-648,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546193;;-999,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129559194;;-929,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129560195;;-1342,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129553196;;-773,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550197;;-659,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129531198;;-1027;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129524199;;-937,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129539200;;-1342,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129532201;;-775,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129541202;;-659,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546203;;-1025,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129559204;;-937,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129560205;;-1545,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129553206;;-773,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550207;;-654,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129531208;;-1023,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129524209;;-939,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550210;;-1548,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129553211;;-771,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129560212;;-654,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129559213;;-1025,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129546214;;-937,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129541215;;-1545,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129532216;;-770,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129539217;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510218;;-1023,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513219;;-937,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513220;;-1543,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510221;;-773,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129503222;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129504223;;-1022,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129517224;;-937,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522225;;-1537,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129531226;;-771,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129524227;;-654,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129553228;;-1023,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129550229;;-934,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129524230;;-1542,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129531231;;-771,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522232;;-659,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129517233;;-1023,75;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129504234;;-934,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129503235;;-1563,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129510236;;-773,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129513237;;-658,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129532238;;-1035,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129539239;;-942,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515240;;-1563,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129516241;;-768,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129525242;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522243;;-1033,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129511244;;-939,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129504245;;-1561,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129597246;;-765,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502247;;-654,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129575248;;-1033,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129576249;;-939,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502250;;-1566,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129597251;;-768,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129504252;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129511253;;-1033,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129522254;;-937,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129525255;;-1568,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129516256;;-767;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129515257;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594258;;-1035,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129589259;;-940,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129589260;;-1564,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129594261;;-768,625;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129587262;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580263;;-1035,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129569264;;-944,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129566265;;-1563,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129575266;;-770,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129576267;;-658,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129597268;;-1033,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129502269;;-940,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129576270;;-1564,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129575271;;-771,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129566272;;-656,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129569273;;-1038,375;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129580274;;-939,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129587275;;-1460,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129590769;;-2691;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129516770;;-1551,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129517771;;-1226,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129526772;;-5853,25;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129523773;;-3332,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129512774;;-2894,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129505775;;-3139,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129598776;;-4649,125;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129503777;;-7442,5;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
50129576778;;-7076,875;Содержание и ремонт общего имущества В5;Содержание и ремонт общего имущества;;;
